provincia_id,provincia_nombre,genero,edad_actual_grandes_grupos,cantidad,nivel,etiqueta
86,Santiago del Estero,X,0 a 17,1.0,Bajo,Pequeño
86,Santiago del Estero,X,18 a 29,5.0,Bajo,Pequeño
86,Santiago del Estero,X,30 a 39,1.0,Bajo,Pequeño
86,Santiago del Estero,X,40 y mas,2.0,Bajo,Pequeño
94,Tierra del Fuego,F,0 a 17,2.0,Bajo,Pequeño
94,Tierra del Fuego,F,18 a 29,10.0,Bajo,Pequeño
94,Tierra del Fuego,F,30 a 39,11.0,Bajo,Pequeño
94,Tierra del Fuego,F,40 y mas,9.0,Bajo,Pequeño
94,Tierra del Fuego,M,0 a 17,11.0,Bajo,Pequeño
94,Tierra del Fuego,M,18 a 29,45.0,Bajo,Pequeño
94,Tierra del Fuego,M,30 a 39,8.0,Bajo,Pequeño
94,Tierra del Fuego,M,40 y mas,3.0,Bajo,Pequeño
94,Tierra del Fuego,X,0 a 17,2.0,Bajo,Pequeño
94,Tierra del Fuego,X,18 a 29,10.0,Bajo,Pequeño
94,Tierra del Fuego,X,30 a 39,5.0,Bajo,Pequeño
90,Tucumán,F,0 a 17,4.0,Bajo,Pequeño
90,Tucumán,F,18 a 29,119.0,Bajo,Pequeño
90,Tucumán,F,30 a 39,159.0,Bajo,Pequeño
90,Tucumán,F,40 y mas,164.0,Bajo,Pequeño
90,Tucumán,M,0 a 17,16.0,Bajo,Pequeño
90,Tucumán,M,18 a 29,112.0,Bajo,Pequeño
90,Tucumán,M,30 a 39,49.0,Bajo,Pequeño
90,Tucumán,M,40 y mas,19.0,Bajo,Pequeño
90,Tucumán,X,0 a 17,2.0,Bajo,Pequeño
90,Tucumán,X,18 a 29,14.0,Bajo,Pequeño
90,Tucumán,X,30 a 39,10.0,Bajo,Pequeño
90,Tucumán,X,40 y mas,5.0,Bajo,Pequeño
